"System";"Domain"
"ant";"parsers/generators/make"
"antlr";"parsers/generators/make"
"aoi";"3D/graphics/media"
"argouml";"diagram generator/data visualization"
"aspectj";"programming language"
"axion";"database"
"azureus";"database"
"batik";"3D/graphics/media"
"c_jdbc";"database"
"castor";"middleware"
"cayenne";"database"
"checkstyle";"IDE"
"cobertura";"testing"
"collections";"tool"
"colt";"SDK"
"columba";"tool"
"compiere";"tool"
"derby";"database"
"displaytag";"diagram generator/data visualization"
"drawswf";"3D/graphics/media"
"drjava";"IDE"
"eclipse_SDK";"IDE"
"emma";"testing"
"exoportal";"diagram generator/data visualization"
"findbugs";"testing"
"fitjava";"testing"
"fitlibraryforfitnesse";"testing"
"freecol";"games"
"freecs";"tool"
"freemind";"diagram generator/data visualization"
"galleon";"3D/graphics/media"
"ganttproject";"tool"
"gt2";"SDK"
"hadoop";"middleware"
"heritrix";"tool"
"hibernate";"database"
"hsqldb";"database"
"htmlunit";"testing"
"informa";"middleware"
"ireport";"diagram generator/data visualization"
"itext";"diagram generator/data visualization"
"ivatagroupware";"middleware"
"jFin_DateMath";"SDK"
"jag";"tool"
"james";"tool"
"jasml";"tool"
"jasperreports";"diagram generator/data visualization"
"javacc";"parsers/generators/make"
"jboss";"middleware"
"jchempaint";"SDK"
"jedit";"tool"
"jena";"middleware"
"jext";"diagram generator/data visualization"
"jfreechart";"tool"
"jgraph";"tool"
"jgraphpad";"tool"
"jgrapht";"tool"
"jgroups";"tool"
"jhotdraw";"3D/graphics/media"
"jmeter";"testing"
"jmoney";"tool"
"joggplayer";"3D/graphics/media"
"jparse";"parsers/generators/make"
"jpf";"SDK"
"jrat";"testing"
"jre";"programming language"
"jrefactory";"tool"
"jruby";"programming language"
"jsXe";"tool"
"jspwiki";"middleware"
"jstock";"tool"
"jtopen";"middleware"
"jung";"diagram generator/data visualization"
"junit";"testing"
"log4j";"testing"
"lucene";"tool"
"marauroa";"games"
"maven";"parsers/generators/make"
"megamek";"games"
"mvnforum";"tool"
"myfaces_core";"middleware"
"nakedobjects";"IDE"
"nekohtml";"parsers/generators/make"
"netbeans";"IDE"
"openjms";"middleware"
"oscache";"middleware"
"picocontainer";"middleware"
"pmd";"testing"
"poi";"tool"
"pooka";"tool"
"proguard";"tool"
"quartz";"middleware"
"quickserver";"middleware"
"quilt";"testing"
"roller";"tool"
"rssowl";"tool"
"sablecc";"parsers/generators/make"
"sandmark";"tool"
"springframework";"middleware"
"squirrel_sql";"database"
"struts";"middleware"
"sunflow";"3D/graphics/media"
"tapestry";"middleware"
"tomcat";"middleware"
"trove";"SDK"
"velocity";"diagram generator/data visualization"
"wct";"tool"
"webmail";"tool"
"weka";"tool"
"xalan";"parsers/generators/make"
"xerces";"parsers/generators/make"
"xmojo";"middleware"
